task_id,task_count_per_month,task_id_mean_duration
1,230.52083333333334,55.519471789697164
2,112.64583333333333,69.11104596849562
3,148.39583333333334,62.19611313040069
4,204.5,27.315364667320303
5,348.9583333333333,35.71992956065566
6,130.8125,41.96201900996767
7,272.0208333333333,24.177202638123315
8,262.9375,30.11309284886156
9,163.35416666666666,40.75832475251583
10,215.0,37.53095432258513
11,234.08333333333334,31.96014573588571
12,117.45833333333333,60.22776535274724
13,308.6875,82.76866705700786
14,270.7083333333333,40.024630974117116
15,298.0833333333333,76.2045431570437
16,267.8541666666667,48.67508059551665
17,230.85416666666666,77.4753594880142
18,167.375,30.054859534650028
19,259.3541666666667,57.69923100768368
